,HeadPitch,HeadYaw,HipPitch,HipRoll,KneePitch,LElbowRoll,LElbowYaw,LHand,LShoulderPitch,LShoulderRoll,LWristYaw,RElbowRoll,RElbowYaw,RHand,RShoulderPitch,RShoulderRoll,RWristYaw,R0R,R0G,R0B,L0R,L0G,L0B,R1R,R1G,R1B,L1R,L1G,L1B,R2R,R2G,R2B,L2R,L2G,L2B,R3R,R3G,R3B,L3R,L3G,L3B,R4R,R4G,R4B,L4R,L4G,L4B,R5R,R5G,R5B,L5R,L5G,L5B,R6R,R6G,R6B,L6R,L6G,L6B,R7R,R7G,R7B,L7R,L7G,L7B,valence,time
0,-0.3618236482143402,-0.20660372078418732,-0.26044759154319763,-0.0007769782678224146,0.11766166985034943,-0.8331918120384216,-0.8728153109550476,0.6099008321762085,1.349153757095337,0.1535463035106659,-0.235610693693161,0.8305533528327942,0.9967072606086731,0.5994223356246948,1.46957528591156,-0.19118984043598175,0.08167680352926254,0.39102602,0.24331722,0.06813473,0.39916435,0.49679187,0.08679539,0.448694,0.3063191,0.10370436,0.025501572,0.011172498,0.039516646,0.0099527575,0.021308849,0.016995018,0.009448113,0.038676217,0.01940776,0.31628942,0.21355942,0.10870661,0.4400463,0.3289265,0.11055018,0.4867477,0.37390888,0.15827346,0.33911812,0.29831836,0.13043387,0.010353835,0.043217193,0.014004792,0.012520761,0.030742068,0.013059004,0.023241805,0.008221368,0.032312274,0.40981004,0.2991541,0.12015178,0.44688848,0.47920433,0.087921515,0.40384653,0.24775451,0.06312847,0.5417651,0.02
1,-0.3586708605289459,-0.21892227232456207,-0.2518860101699829,-0.000853025063406676,0.1205437108874321,-0.850912868976593,-0.9032789468765259,0.5999736785888672,1.3711732625961304,0.15170307457447052,-0.22390849888324738,0.8374032378196716,1.016406536102295,0.5911213755607605,1.4724220037460327,-0.1872495412826538,0.08712822943925858,0.35649282,0.22784598,0.06251057,0.36245507,0.46911368,0.07851281,0.4184101,0.29427692,0.09388855,0.0255261,0.012960135,0.040302362,0.010681209,0.02419564,0.017788561,0.009373457,0.043170933,0.0199547,0.29747817,0.20666285,0.10209153,0.40533987,0.3129661,0.100840844,0.4515949,0.3586747,0.1465394,0.31988657,0.29683095,0.12319529,0.010182597,0.047649525,0.014855957,0.012902023,0.034018785,0.013735388,0.023363562,0.009431414,0.03441108,0.3816978,0.28888717,0.10879019,0.40418667,0.44535345,0.08099531,0.37527043,0.23248102,0.05746788,0.544961,0.08
2,-0.3526039719581604,-0.2251581847667694,-0.24235419929027557,-0.0014001444214954972,0.12508264183998108,-0.8666903972625732,-0.9311810731887817,0.5859329700469971,1.3886823654174805,0.14915476739406586,-0.19927391409873962,0.8402515649795532,1.0408127307891846,0.5799708962440491,1.4735567569732666,-0.1819867342710495,0.09248702973127365,0.32861927,0.21333785,0.057369854,0.33283132,0.4395105,0.07120806,0.39349985,0.28252497,0.08534095,0.025945617,0.015133664,0.04130152,0.0117138745,0.027662685,0.019190345,0.009507584,0.048364043,0.020308688,0.27928954,0.20094094,0.09607523,0.37764844,0.29879525,0.09240996,0.42215294,0.34341308,0.13437511,0.30116087,0.29203022,0.1152501,0.01017699,0.052806683,0.015636388,0.013572947,0.03743628,0.014873685,0.023939112,0.010890625,0.036767937,0.36076987,0.27793127,0.096007116,0.36880693,0.41208506,0.07461766,0.35142675,0.21715562,0.052607022,0.5479088,0.13999999999999999
3,-0.3365982472896576,-0.2354542464017868,-0.2249998301267624,0.0004792358377017081,0.12708257138729095,-0.8838176131248474,-0.9656658172607422,0.564690113067627,1.4066203832626343,0.1483299434185028,-0.17112426459789276,0.8482799530029297,1.078940749168396,0.556730329990387,1.4746841192245483,-0.17847873270511627,0.07885509729385376,0.3107856,0.1992069,0.05662143,0.30861378,0.39713204,0.06649042,0.37730315,0.26845285,0.07826225,0.027108198,0.0178343,0.042144906,0.013295676,0.030898014,0.022721041,0.010180891,0.054125287,0.020381723,0.2632592,0.19595557,0.09340355,0.35784253,0.2793014,0.0847269,0.39941642,0.32512036,0.12495212,0.28764662,0.28157684,0.108271934,0.0106929,0.059630398,0.016211046,0.014499312,0.039703894,0.017497774,0.024583125,0.012933158,0.038680527,0.3419375,0.26092732,0.08183548,0.33845827,0.37406212,0.07180279,0.33355007,0.20132981,0.049615968,0.54785734,0.19999999999999998
4,-0.32193049788475037,-0.23900382220745087,-0.21021977066993713,0.0021148244850337505,0.12250128388404846,-0.8955779075622559,-0.9908576011657715,0.5451589822769165,1.4170939922332764,0.15058477222919464,-0.15604473650455475,0.864733099937439,1.1089873313903809,0.5319752097129822,1.4661600589752197,-0.17612555623054504,0.07708745449781418,0.28554502,0.18402058,0.0547024,0.28034332,0.3599118,0.06058377,0.35406694,0.25750187,0.07045642,0.027166938,0.0215528,0.043042205,0.014569832,0.034377173,0.026940579,0.010705674,0.062186826,0.020940214,0.24406211,0.19288598,0.090589054,0.3318511,0.2589542,0.07558499,0.3665684,0.3057078,0.112668015,0.2695401,0.27088928,0.10210751,0.011134617,0.069348745,0.017186388,0.015037635,0.04258291,0.021005886,0.024984503,0.01565877,0.040716797,0.3203158,0.24848926,0.06994369,0.3044075,0.34078607,0.067744985,0.31101605,0.18378514,0.047240797,0.546578,0.26
5,-0.3065493702888489,-0.23600433766841888,-0.19909724593162537,0.0036981196608394384,0.11644498258829117,-0.9020276665687561,-1.0159838199615479,0.5275229811668396,1.4283133745193481,0.15375001728534698,-0.14336055517196655,0.8832889795303345,1.13772714138031,0.5080186724662781,1.4574532508850098,-0.17420846223831177,0.08080971986055374,0.2607902,0.16943227,0.052217755,0.2547641,0.32833102,0.054658376,0.33068934,0.24819918,0.06312058,0.027204594,0.026372453,0.04431241,0.015836596,0.038475957,0.032072946,0.011363749,0.07169598,0.021885775,0.22619724,0.18996209,0.08849012,0.3076896,0.24078806,0.066815846,0.33434966,0.2871864,0.100753896,0.2518696,0.2593937,0.096743956,0.011733835,0.08124315,0.018615594,0.015509574,0.0461541,0.025523854,0.025486216,0.019294785,0.04344104,0.30121684,0.23779029,0.059981428,0.273837,0.31271803,0.06379345,0.28905055,0.1659189,0.044970848,0.54428583,0.32
6,-0.29034632444381714,-0.23139695823192596,-0.18798401951789856,0.005109680350869894,0.11050430685281754,-0.9078715443611145,-1.0405232906341553,0.5101238489151001,1.4393941164016724,0.1571713089942932,-0.13292743265628815,0.9012302160263062,1.1656444072723389,0.48446881771087646,1.449519395828247,-0.17245672643184662,0.08488138765096664,0.23810168,0.15626958,0.049766216,0.23136576,0.29910487,0.049295984,0.30908766,0.23935017,0.05666355,0.027274713,0.032340672,0.04576912,0.01723201,0.04319842,0.038176596,0.012079182,0.08272303,0.023036702,0.2100379,0.18761146,0.08688788,0.28532428,0.22434668,0.059050538,0.30419302,0.2698288,0.08989762,0.23560727,0.24899684,0.09214884,0.012376543,0.09517381,0.020249028,0.015988562,0.050286047,0.031048084,0.026053436,0.023769388,0.046406433,0.2835371,0.22790478,0.051504757,0.24569187,0.28696007,0.060035907,0.26860896,0.1498701,0.042970277,0.5416267,0.38
7,-0.2709551751613617,-0.23020464181900024,-0.17509135603904724,0.007112368009984493,0.10516612231731415,-0.9138686656951904,-1.0648404359817505,0.4877801835536957,1.4546116590499878,0.15980008244514465,-0.11793096363544464,0.9186016917228699,1.188863754272461,0.45734450221061707,1.4427034854888916,-0.1698058843612671,0.08950204402208328,0.21833651,0.145444,0.04770403,0.20985547,0.27002653,0.04439099,0.28949016,0.23065229,0.05056069,0.027578244,0.040561028,0.048287872,0.019039538,0.049431298,0.045603376,0.012761699,0.09618818,0.024366353,0.19719478,0.18591274,0.0834977,0.2671411,0.20962913,0.05277687,0.27729037,0.25346577,0.07995808,0.22017848,0.24002998,0.08691028,0.012934322,0.11095871,0.021999734,0.0166023,0.055948243,0.03822919,0.026809128,0.029829022,0.04996256,0.2669096,0.22041827,0.044128884,0.21996006,0.26007146,0.0559349,0.2492875,0.136908,0.041667912,0.53998667,0.44
8,-0.24999360740184784,-0.22895900905132294,-0.16107022762298584,0.009312323294579983,0.0997811034321785,-0.9180604815483093,-1.0872124433517456,0.46480053663253784,1.469786524772644,0.1619347184896469,-0.1015375554561615,0.934673547744751,1.208948016166687,0.43017590045928955,1.4363720417022705,-0.16694653034210205,0.09360284358263016,0.20014521,0.13570537,0.046033654,0.19108492,0.24400812,0.040119894,0.270934,0.22193912,0.045200996,0.02792515,0.050797194,0.051193517,0.021135388,0.05681144,0.054393675,0.013487796,0.111895375,0.026030272,0.18512288,0.1837417,0.0801687,0.25087118,0.19561379,0.047345597,0.25275487,0.23752125,0.071377136,0.20585912,0.23068058,0.08231004,0.013584488,0.12921922,0.024114577,0.017329352,0.062702976,0.047221083,0.027665164,0.03751969,0.05376316,0.25067964,0.21340784,0.038044825,0.19761494,0.23563083,0.05204021,0.23146464,0.12530194,0.040772703,0.5390924,0.5
9,-0.22882385551929474,-0.2288680076599121,-0.14371486008167267,0.011563589796423912,0.09366016089916229,-0.9230802059173584,-1.106598138809204,0.4442020356655121,1.4838180541992188,0.16443438827991486,-0.08365197479724884,0.9475260376930237,1.2305169105529785,0.4044364392757416,1.4269907474517822,-0.16484157741069794,0.10105802863836288,0.18414052,0.12710552,0.04481063,0.17463894,0.22058074,0.03631944,0.2546294,0.21258463,0.040826663,0.028546588,0.06367892,0.05452933,0.023468783,0.06587312,0.0648481,0.014421804,0.12955198,0.028075464,0.17434432,0.18124625,0.076593265,0.23630893,0.18256246,0.04226491,0.23099725,0.22207555,0.06405587,0.19315936,0.22085546,0.07733489,0.014461349,0.15009965,0.026669133,0.018231751,0.07095306,0.057966046,0.028540263,0.047250275,0.05833366,0.23369002,0.20616297,0.032640763,0.17932309,0.21483031,0.04859883,0.21621533,0.11418993,0.039850526,0.5386687,0.56
