,HeadPitch,HeadYaw,HipPitch,HipRoll,KneePitch,LElbowRoll,LElbowYaw,LHand,LShoulderPitch,LShoulderRoll,LWristYaw,RElbowRoll,RElbowYaw,RHand,RShoulderPitch,RShoulderRoll,RWristYaw,R0R,R0G,R0B,L0R,L0G,L0B,R1R,R1G,R1B,L1R,L1G,L1B,R2R,R2G,R2B,L2R,L2G,L2B,R3R,R3G,R3B,L3R,L3G,L3B,R4R,R4G,R4B,L4R,L4G,L4B,R5R,R5G,R5B,L5R,L5G,L5B,R6R,R6G,R6B,L6R,L6G,L6B,R7R,R7G,R7B,L7R,L7G,L7B,valence,time
0,-0.4522172808647156,-0.10936497151851654,-0.3497115969657898,-0.011305650696158409,0.03237990662455559,-0.33902114629745483,-1.1600006818771362,0.7256191968917847,1.3637679815292358,0.12029653787612915,-0.3723700940608978,0.23250900208950043,1.2065566778182983,0.7209773063659668,1.629359483718872,-0.16781823337078094,0.537148118019104,0.98539126,0.9995859,0.9991611,0.99795157,0.99996436,0.99979085,0.99512804,0.99972266,0.9996344,0.98966485,0.9991761,0.9997876,0.9794236,0.99944776,0.9999441,0.9908828,0.9821547,0.993214,0.9947259,0.9684775,0.97203785,0.9923534,0.99920493,0.9992719,0.99574286,0.9982083,0.9996859,0.99404234,0.9719319,0.97151417,0.9941373,0.9899222,0.9943229,0.9871674,0.9992822,0.9999496,0.98782885,0.9990491,0.9999664,0.9975139,0.99979764,0.9999341,0.9957495,0.9999372,0.99997675,0.9904857,0.9992841,0.99814653,0.46864927,0.02
1,-0.4462173283100128,-0.11736679077148438,-0.3495757281780243,-0.009954792447388172,0.03854215145111084,-0.3251587450504303,-1.157759428024292,0.7276595234870911,1.3696461915969849,0.11994786560535431,-0.3586335778236389,0.22433172166347504,1.2038649320602417,0.7220469117164612,1.6278308629989624,-0.1674199253320694,0.5215413570404053,0.9888749,0.99965775,0.99936134,0.99857056,0.9999734,0.99985313,0.9965693,0.9997907,0.9997372,0.992304,0.999331,0.99982893,0.9847926,0.9995253,0.9999598,0.99416333,0.9856619,0.9951035,0.9964921,0.97561705,0.98080117,0.9944055,0.9993919,0.9994874,0.996944,0.9985832,0.99976474,0.99599314,0.97911453,0.98207456,0.9963439,0.99200517,0.9956334,0.99068177,0.99939346,0.9999654,0.99132884,0.9991761,0.9999738,0.9984018,0.99985504,0.99995697,0.99698013,0.99995077,0.999984,0.99306905,0.9994325,0.99873143,0.46650973,0.08
2,-0.43989649415016174,-0.12369942665100098,-0.3487838804721832,-0.00849419180303812,0.04427812620997429,-0.3113185465335846,-1.1560848951339722,0.7300660610198975,1.3779263496398926,0.11990688741207123,-0.34586915373802185,0.21734292805194855,1.202006220817566,0.7229192852973938,1.6270389556884766,-0.16730734705924988,0.5111089944839478,0.99150276,0.99971634,0.9995111,0.9989955,0.99997985,0.9998956,0.9975727,0.99984145,0.99981064,0.99421847,0.999453,0.9998617,0.98868597,0.99959105,0.9999708,0.99625045,0.988405,0.996463,0.997664,0.9812433,0.9868342,0.99589527,0.99953175,0.9996352,0.9977981,0.9988734,0.9998217,0.9972958,0.98451984,0.9887433,0.99769956,0.99361247,0.99663264,0.99315965,0.9994869,0.99997616,0.99377525,0.99928313,0.9999794,0.9989673,0.9998957,0.9999716,0.997841,0.999961,0.9999889,0.99493414,0.9995492,0.999129,0.46411934,0.13999999999999999
3,-0.43428248167037964,-0.12925173342227936,-0.3486403226852417,-0.006879317574203014,0.05007222667336464,-0.29848411679267883,-1.1533489227294922,0.7317794561386108,1.3838410377502441,0.11992461234331131,-0.3314844071865082,0.2111872136592865,1.1984792947769165,0.7229894995689392,1.6239300966262817,-0.1671954095363617,0.4981154203414917,0.9935144,0.99976605,0.99962604,0.99930334,0.999985,0.99992645,0.99828845,0.99988186,0.99986386,0.99565965,0.99955577,0.99988866,0.99161,0.9996499,0.9999788,0.99761486,0.99076897,0.997474,0.99845195,0.9857993,0.99103117,0.99700016,0.9996419,0.9997404,0.9984189,0.9991116,0.9998648,0.9981875,0.98870766,0.9929791,0.99856913,0.99496436,0.9974515,0.99502194,0.9995697,0.99998355,0.9955499,0.9993839,0.999984,0.99933845,0.9999262,0.9999815,0.9984749,0.9999695,0.9999925,0.9963321,0.9996437,0.99940443,0.4627786,0.19999999999999998
4,-0.4316352605819702,-0.12898656725883484,-0.35240402817726135,-0.005568907130509615,0.05472906306385994,-0.2863406538963318,-1.1429266929626465,0.7295214533805847,1.3792647123336792,0.12108917534351349,-0.3208613693714142,0.20659014582633972,1.1877479553222656,0.7216618061065674,1.6182374954223633,-0.1667168289422989,0.48796984553337097,0.9950728,0.9998091,0.9997092,0.9995141,0.99998856,0.9999461,0.9988017,0.99991155,0.9998996,0.9967296,0.99964666,0.9999105,0.993638,0.99970704,0.99998474,0.99846727,0.9927371,0.99820006,0.99898416,0.9894298,0.993806,0.9978156,0.9997285,0.9998117,0.99887675,0.99931145,0.99989593,0.99880266,0.99192274,0.99554163,0.9990845,0.99597836,0.99807954,0.9963307,0.9996468,0.9999887,0.9967423,0.99948823,0.9999877,0.9995789,0.9999471,0.9999876,0.9989158,0.99997556,0.99999464,0.99735665,0.99972016,0.99958485,0.4648412,0.26
5,-0.4290383756160736,-0.12870511412620544,-0.35537832975387573,-0.004377968143671751,0.058640409260988235,-0.2736832797527313,-1.1312017440795898,0.7264482378959656,1.3751832246780396,0.12323199957609177,-0.31491902470588684,0.20295776426792145,1.1741396188735962,0.7196431159973145,1.612646460533142,-0.16707903146743774,0.4862048327922821,0.99627507,0.9998461,0.9997751,0.9996618,0.9999913,0.9999603,0.9991567,0.9999336,0.9999262,0.99753064,0.99972075,0.9999291,0.99511397,0.9997578,0.99998915,0.99901557,0.99434644,0.9987325,0.9993318,0.9921605,0.99575055,0.9984176,0.99979645,0.99986434,0.99920636,0.99947256,0.9999212,0.9992073,0.9942425,0.99717855,0.99941456,0.9968129,0.9985701,0.997265,0.9997131,0.99999225,0.9976012,0.99958056,0.9999907,0.9997309,0.99996185,0.99999166,0.99923337,0.9999807,0.9999962,0.998097,0.99978167,0.9997112,0.46721166,0.32
6,-0.42761677503585815,-0.12770015001296997,-0.3574782609939575,-0.0033146326895803213,0.06220417469739914,-0.2616584002971649,-1.120746374130249,0.7227064371109009,1.3716185092926025,0.12533052265644073,-0.3070816099643707,0.1996339112520218,1.1590635776519775,0.7163750529289246,1.6064361333847046,-0.16723448038101196,0.4794984459877014,0.9971982,0.9998777,0.99982953,0.9997669,0.99999344,0.9999714,0.9994116,0.9999511,0.99994683,0.99814713,0.99978155,0.99994445,0.9962745,0.9998018,0.9999924,0.9993742,0.9956483,0.9991239,0.99956876,0.99430484,0.99714965,0.9988605,0.9998487,0.9999037,0.99944454,0.9996001,0.99994135,0.99948466,0.9959781,0.99826187,0.99963045,0.9974995,0.9989512,0.9979808,0.99977,0.9999949,0.9982492,0.99965954,0.9999931,0.99982977,0.9999732,0.99999464,0.99946123,0.999985,0.9999974,0.998645,0.9998323,0.99980384,0.46988884,0.38
7,-0.42686498165130615,-0.12494257837533951,-0.3587516248226166,-0.002105679363012314,0.0646933987736702,-0.25049063563346863,-1.1140283346176147,0.7180047035217285,1.36983060836792,0.1271524280309677,-0.29447034001350403,0.19638438522815704,1.1430753469467163,0.711054265499115,1.5994004011154175,-0.16672219336032867,0.46628525853157043,0.99790454,0.9999049,0.999876,0.99984074,0.9999951,0.99997985,0.99959487,0.99996483,0.99996305,0.9986242,0.99983156,0.99995697,0.99719113,0.9998394,0.99999475,0.99960834,0.9966737,0.9994068,0.99972945,0.9959881,0.9981639,0.9991831,0.99988866,0.99993336,0.9996147,0.9996997,0.99995744,0.9996754,0.99727184,0.99897826,0.99977094,0.99804485,0.99924314,0.9985305,0.9998179,0.99999666,0.99873906,0.9997254,0.999995,0.9998939,0.99998164,0.99999666,0.99962187,0.9999883,0.9999982,0.9990484,0.9998747,0.99987245,0.47220773,0.44
8,-0.4249047338962555,-0.12046821415424347,-0.3599235415458679,-7.353029650403187e-05,0.06650520861148834,-0.23992031812667847,-1.1089338064193726,0.7124732732772827,1.3693166971206665,0.12893828749656677,-0.2849874794483185,0.19342583417892456,1.1278858184814453,0.7048521041870117,1.5924397706985474,-0.16622260212898254,0.4549795389175415,0.99842286,0.9999255,0.9999094,0.99989045,0.9999963,0.9999858,0.99972063,0.9999745,0.99997437,0.99897563,0.9998697,0.9999664,0.9978726,0.99986935,0.9999964,0.9997553,0.9974469,0.9996008,0.9998292,0.9971585,0.9988167,0.9994086,0.9999175,0.99995387,0.9997304,0.9997725,0.999969,0.9997954,0.9981407,0.9994012,0.9998574,0.99845934,0.9994537,0.99892336,0.99985576,0.99999785,0.999089,0.99977666,0.9999963,0.9999336,0.99998736,0.99999785,0.9997327,0.9999907,0.9999988,0.9993262,0.99990606,0.99991727,0.47390068,0.5
9,-0.42202287912368774,-0.11578015238046646,-0.3607032597064972,0.0016846293583512306,0.06753972172737122,-0.23031243681907654,-1.1027523279190063,0.7073226571083069,1.366528868675232,0.1307625025510788,-0.27617231011390686,0.19017599523067474,1.1124763488769531,0.6984784007072449,1.5857689380645752,-0.16562439501285553,0.44327548146247864,0.9988053,0.999941,0.9999329,0.9999242,0.99999726,0.99998987,0.9998066,0.9999813,0.999982,0.9992367,0.9998995,0.9999738,0.9983814,0.99989414,0.9999976,0.99984574,0.9980464,0.99973243,0.9998913,0.997974,0.9992342,0.99956924,0.9999385,0.9999676,0.9998109,0.9998265,0.99997723,0.9998697,0.99872905,0.9996476,0.99991035,0.9987895,0.9996061,0.9992099,0.99988616,0.99999857,0.9993412,0.9998185,0.99999726,0.99995804,0.9999912,0.9999987,0.9998105,0.9999927,0.99999917,0.9995191,0.99992883,0.99994564,0.47572434,0.56
