,HeadPitch,HeadYaw,HipPitch,HipRoll,KneePitch,LElbowRoll,LElbowYaw,LHand,LShoulderPitch,LShoulderRoll,LWristYaw,RElbowRoll,RElbowYaw,RHand,RShoulderPitch,RShoulderRoll,RWristYaw,R0R,R0G,R0B,L0R,L0G,L0B,R1R,R1G,R1B,L1R,L1G,L1B,R2R,R2G,R2B,L2R,L2G,L2B,R3R,R3G,R3B,L3R,L3G,L3B,R4R,R4G,R4B,L4R,L4G,L4B,R5R,R5G,R5B,L5R,L5G,L5B,R6R,R6G,R6B,L6R,L6G,L6B,R7R,R7G,R7B,L7R,L7G,L7B,valence,time
0,-0.5189095139503479,0.022646808996796608,-0.2596016228199005,-0.08599788695573807,0.0028233055491000414,-0.39064469933509827,-1.7054692506790161,0.717036783695221,1.6938810348510742,0.30664634704589844,-1.0416536331176758,0.4863988161087036,1.5503216981887817,0.6788328289985657,1.746350646018982,-0.38556593656539917,1.091325044631958,0.9999558,0.9999021,0.9996191,0.9999684,0.99999833,0.9995437,0.99998856,0.9999944,0.99994874,0.99980956,0.99971455,0.99993813,0.99918646,0.998451,0.9997017,0.9998492,0.9999263,0.99980456,0.99998355,0.9999883,0.99991333,0.9999658,0.99964905,0.9994324,0.99998736,0.99959546,0.99986947,0.9999932,0.9999864,0.99994695,0.99994075,0.99997056,0.9996153,0.99921286,0.9987955,0.9997384,0.9995328,0.99930215,0.9999708,0.9999865,0.9999976,0.99998856,0.9998965,0.9999987,0.999969,0.9999521,0.99987936,0.9998466,0.85832417,0.02
1,-0.5120424628257751,0.012191127054393291,-0.25585445761680603,-0.0814758911728859,0.0031980155035853386,-0.3758384585380554,-1.7052299976348877,0.719681978225708,1.6980875730514526,0.3057471215724945,-1.050183892250061,0.4666716754436493,1.5566070079803467,0.6807160973548889,1.7401435375213623,-0.38683149218559265,1.0916763544082642,0.9999684,0.99991786,0.99969566,0.99997926,0.9999987,0.99963355,0.9999925,0.99999475,0.9999577,0.999864,0.99979585,0.99995434,0.9994228,0.9989833,0.99980766,0.99990714,0.9999379,0.99986804,0.99998903,0.99998915,0.99993384,0.99997735,0.9997645,0.9996221,0.99999166,0.9997137,0.9999081,0.99999547,0.9999881,0.9999635,0.99996257,0.99997616,0.99971074,0.99943215,0.99923146,0.9998373,0.9996712,0.9994942,0.99997914,0.9999912,0.99999774,0.9999912,0.9999324,0.9999987,0.9999752,0.99996734,0.99990153,0.9998883,0.8599994,0.08
2,-0.5051823854446411,0.0015047151828184724,-0.2479577362537384,-0.07535621523857117,0.0034894973505288363,-0.3630395829677582,-1.7017041444778442,0.722355306148529,1.699361801147461,0.30412018299102783,-1.05921471118927,0.4500521421432495,1.5596672296524048,0.6836449503898621,1.7316607236862183,-0.38647133111953735,1.09324312210083,0.99997675,0.99993074,0.99975353,0.9999862,0.9999988,0.99970645,0.999995,0.9999951,0.9999647,0.99990106,0.9998553,0.9999664,0.9995833,0.99932253,0.99987423,0.99994135,0.99994755,0.9999112,0.9999925,0.99998987,0.99994874,0.9999845,0.9998431,0.9997447,0.9999944,0.99980015,0.9999354,0.9999969,0.9999894,0.99997437,0.9999758,0.9999807,0.99978226,0.99958295,0.99950707,0.99989736,0.99976474,0.99963427,0.9999851,0.99999416,0.99999785,0.9999933,0.9999553,0.9999988,0.9999802,0.9999776,0.99991894,0.99991786,0.86178464,0.13999999999999999
3,-0.4978005290031433,-0.008594181388616562,-0.23693667352199554,-0.06809967011213303,0.0043207332491874695,-0.3519773483276367,-1.6959198713302612,0.7253788709640503,1.6991300582885742,0.3019350469112396,-1.0699204206466675,0.43612140417099,1.5608972311019897,0.6877371668815613,1.721537709236145,-0.3845932185649872,1.0956599712371826,0.9999826,0.99994135,0.9997986,0.9999906,0.99999905,0.999764,0.99999654,0.9999956,0.9999703,0.9999267,0.9998977,0.9999751,0.9996933,0.99953926,0.9999167,0.99996185,0.9999554,0.9999398,0.99999475,0.9999906,0.99995995,0.99998903,0.99989545,0.9998247,0.99999607,0.99986076,0.99995434,0.99999785,0.9999906,0.99998164,0.999984,0.9999844,0.9998349,0.99968755,0.99967957,0.9999342,0.9998286,0.9997341,0.9999893,0.99999607,0.999998,0.9999949,0.99996996,0.9999989,0.999984,0.9999844,0.9999329,0.99993885,0.86354506,0.19999999999999998
4,-0.49022364616394043,-0.01782871223986149,-0.22662687301635742,-0.060892503708601,0.004729507956653833,-0.34098732471466064,-1.6893608570098877,0.7282750606536865,1.6987310647964478,0.30015769600868225,-1.0820891857147217,0.4215717911720276,1.5613760948181152,0.691585898399353,1.7110894918441772,-0.3830244541168213,1.0990954637527466,0.999987,0.9999503,0.99983466,0.9999937,0.99999917,0.9998091,0.9999976,0.99999595,0.99997497,0.99994576,0.99992716,0.9999814,0.9997745,0.99968576,0.99994445,0.9999753,0.999962,0.99995875,0.9999964,0.9999912,0.9999684,0.9999924,0.99993,0.9998783,0.99999726,0.9999025,0.9999677,0.99999857,0.99999166,0.99998677,0.9999895,0.99998736,0.999874,0.99976605,0.9997911,0.99995756,0.9998752,0.99980575,0.99999225,0.9999974,0.9999982,0.99999595,0.99997985,0.99999905,0.999987,0.99998915,0.9999443,0.9999541,0.8649685,0.26
5,-0.4827296733856201,-0.025850918143987656,-0.21601568162441254,-0.05366720259189606,0.0049668545834720135,-0.32989251613616943,-1.6828114986419678,0.7309096455574036,1.6981970071792603,0.2987655699253082,-1.0936949253082275,0.40654492378234863,1.5605692863464355,0.6946296095848083,1.6999757289886475,-0.3814801871776581,1.102353572845459,0.99999034,0.9999578,0.9998642,0.9999957,0.9999993,0.99984515,0.99999845,0.9999962,0.9999788,0.99995995,0.99994814,0.99998605,0.999835,0.9997863,0.99996305,0.999984,0.9999676,0.9999716,0.9999975,0.99999166,0.9999751,0.99999464,0.99995315,0.99991524,0.9999982,0.9999317,0.999977,0.9999989,0.9999926,0.99999046,0.9999931,0.9999896,0.99990344,0.99982554,0.99986434,0.9999727,0.9999093,0.9998579,0.9999944,0.9999982,0.99999833,0.9999969,0.9999865,0.99999905,0.9999894,0.9999925,0.99995375,0.99996555,0.86635697,0.32
6,-0.47563010454177856,-0.03315955400466919,-0.2058611810207367,-0.046217042952775955,0.00510949594900012,-0.3188757300376892,-1.6773639917373657,0.7329445481300354,1.6971280574798584,0.2965128421783447,-1.1031571626663208,0.3899545669555664,1.5585893392562866,0.6968740820884705,1.6883023977279663,-0.37851428985595703,1.1023404598236084,0.99999297,0.9999645,0.99989045,0.99999714,0.9999994,0.9998752,0.9999989,0.99999654,0.9999821,0.9999707,0.9999634,0.9999895,0.9998807,0.9998572,0.9999759,0.99998975,0.99997246,0.99998057,0.99999833,0.99999225,0.9999807,0.9999963,0.9999691,0.99994147,0.9999988,0.99995255,0.9999838,0.9999993,0.99999344,0.9999932,0.99999547,0.99999166,0.9999256,0.99987125,0.9999137,0.99998283,0.9999348,0.9998965,0.99999595,0.9999988,0.99999845,0.9999976,0.9999912,0.99999917,0.9999914,0.9999949,0.9999622,0.9999745,0.8673965,0.38
7,-0.4730049669742584,-0.03998522087931633,-0.19245538115501404,-0.0386686809360981,0.003607342252507806,-0.3139501214027405,-1.6713390350341797,0.7332013845443726,1.6932882070541382,0.2925530672073364,-1.1110888719558716,0.38096240162849426,1.55655038356781,0.6954377293586731,1.6801185607910156,-0.37586814165115356,1.100778341293335,0.9999944,0.9999701,0.999912,0.999998,0.9999995,0.99990094,0.9999993,0.999997,0.99998534,0.99997723,0.99997354,0.999992,0.9999083,0.99989796,0.99998367,0.9999927,0.9999757,0.9999864,0.9999988,0.99999297,0.9999851,0.9999974,0.99997926,0.99995923,0.99999905,0.99996686,0.9999887,0.9999995,0.9999944,0.99999523,0.9999968,0.99999297,0.9999409,0.9998994,0.9999417,0.9999888,0.9999505,0.99992275,0.999997,0.99999917,0.9999987,0.9999982,0.99999344,0.9999993,0.9999931,0.9999964,0.9999691,0.9999814,0.8678877,0.44
8,-0.4705798625946045,-0.04685290902853012,-0.17865745723247528,-0.03102738969027996,0.001858634757809341,-0.3096980154514313,-1.6646324396133423,0.7331448793411255,1.6888171434402466,0.2881520390510559,-1.119213581085205,0.3726658523082733,1.5543878078460693,0.693741500377655,1.672479510307312,-0.37300482392311096,1.099113941192627,0.9999956,0.99997485,0.9999293,0.99999857,0.9999995,0.9999213,0.9999995,0.9999974,0.99998796,0.99998224,0.9999808,0.9999939,0.9999293,0.9999267,0.9999888,0.9999949,0.9999784,0.99999046,0.99999917,0.99999356,0.99998844,0.999998,0.99998605,0.9999716,0.9999994,0.9999769,0.999992,0.99999964,0.9999951,0.99999666,0.99999774,0.9999939,0.9999528,0.99992096,0.9999604,0.9999927,0.9999622,0.99994206,0.99999785,0.9999994,0.9999988,0.9999987,0.99999523,0.9999993,0.9999945,0.9999974,0.99997485,0.9999864,0.868238,0.5
9,-0.4677778482437134,-0.05646026134490967,-0.1652231216430664,-0.022925984114408493,0.0012976439902558923,-0.3077162802219391,-1.6549584865570068,0.7320239543914795,1.682173490524292,0.2842332720756531,-1.1244395971298218,0.3655526340007782,1.5507982969284058,0.6912010908126831,1.663967490196228,-0.37056294083595276,1.0962028503417969,0.99999654,0.9999788,0.999943,0.9999989,0.99999964,0.9999373,0.99999964,0.99999774,0.9999902,0.9999857,0.99998593,0.99999523,0.9999436,0.99994636,0.99999225,0.9999963,0.9999809,0.9999933,0.9999994,0.9999943,0.9999912,0.99999857,0.9999906,0.99997985,0.9999995,0.9999838,0.9999943,0.99999976,0.9999958,0.9999976,0.99999833,0.9999949,0.99996316,0.99993646,0.99997246,0.9999951,0.9999703,0.99995613,0.99999833,0.99999964,0.99999905,0.9999989,0.9999964,0.9999994,0.9999956,0.9999981,0.9999795,0.99999,0.86828625,0.56
